Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
presupuesto reforma piso;2;2;0;140;2.88;http://planreforma.com/blog/precio-de-la-reforma-de-un-piso-de-100-m2/;0.53;0.73;0.74;683000;0.65,0.35,0.65,0.65,0.65,0.81,0.81,0.99,0.35,0.27,0.27,0.54
comparar presupuestos;4;4;0;260;1.27;http://planreforma.com/blog/como-comparar-presupuestos-de-reforma-de-forma-facil/;0.53;0.32;0.02;848000;0.23,0.28,0.82,0.67,0.54,0.67,0.82,0.82,0.82,0.99,0.82,0.82
precio construir casa;4;4;0;260;0.44;http://planreforma.com/blog/cuanto-cuesta-construir-la-casa-de-tus-suenos/;0.53;0.11;0.73;16800000;0.35,0.44,0.44,0.28,0.54,0.81,0.67,0.67,0.67,0.67,0.99,0.67
reformar un piso;2;2;0;140;1.45;http://planreforma.com/blog/cuanto-cuesta-reformar-un-piso/;0.53;0.36;0.79;13800000;0.81,0.52,0.67,0.52,0.52,0.67,0.81,0.81,0.67,0.52,0.81,0.99
precio cerramiento terraza;2;2;0;140;1.61;http://planreforma.com/blog/cuanto-cuesta-construir-un-cerramiento-en-la-terraza-beneficiate-ademas-de-las-ayudas-que-da-el-gobierno/;0.53;0.41;0.88;365000;0.43,0.33,0.43,0.43,0.52,0.43,0.52,0.52,0.81,0.67,0.99,0.99
cuanto cuesta reformar una casa;4;1;-3;260;1.92;http://planreforma.com/calculador-reforma/;0.53;0.48;0.64;72000;0.81,0.81,0.99,0.81,0.81,0.81,0.99,0.81,0.81,0.66,0.99,0.99
pintar piso;6;6;0;320;1.24;http://planreforma.com/blog/consejos-para-pintar-un-piso/;0.46;0.27;0.46;837000;0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67
ventanas de aluminio o pvc;6;5;-1;320;0.83;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.46;0.18;0.75;638000;0.24,0.24,0.36,0.28,0.28,0.36,0.44,0.44,0.99,0.54,0.99,0.99
piscina desbordante;5;8;3;320;1.18;http://planreforma.com/blog/piscinas-desbordantes-o-piscinas-infinitas/;0.46;0.26;0.56;163000;0.54,0.81,0.81,0.81,0.99,0.81,0.81,0.44,0.35,0.35,0.54,0.67
reforma casa;3;3;0;170;2.86;http://planreforma.com/calculador-reforma/;0.44;0.61;0.78;75100000;0.67,0.67,0.99,0.81,0.67,0.67,0.81,0.99,0.67,0.67,0.81,0.99
cerramientos de terrazas precios;3;3;0;170;1.91;http://planreforma.com/blog/cuanto-cuesta-construir-un-cerramiento-en-la-terraza-beneficiate-ademas-de-las-ayudas-que-da-el-gobierno/;0.44;0.40;0.93;240000;0.81,0.99,0.81,0.54,0.15,0.54,0.65,0.27,0.42,0.42,0.81,0.99
ventanas de pvc o aluminio;4;5;1;210;0.72;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.43;0.14;0.79;498000;0.36,0.36,0.44,0.44,0.36,0.28,0.54,0.67,0.99,0.82,0.54,0.82
presupuesto reforma integral;4;3;-1;210;2.79;http://planreforma.com/presupuesto-reforma/;0.43;0.57;0.86;732000;0.99,0.99,0.54,0.28,0.18,0.28,0.44,0.54,0.54,0.36,0.82,0.99
suelos cocina;10;11;1;480;1.01;http://planreforma.com/blog/que-suelo-elegir-para-una-cocina/;0.42;0.20;0.56;24000000;0.81,0.66,0.81,0.66,0.54,0.66,0.81,0.81,0.81,0.54,0.99,0.99
aislantes acusticos;9;9;0;480;0.79;http://planreforma.com/blog/%C2%BFque-materiales-son-aislantes-acusticos/;0.42;0.15;1.00;290000;0.81,0.66,0.66,0.66,0.66,0.54,0.66,0.81,0.99,0.81,0.99,0.81
ladrillo visto;8;6;-2;480;0.26;http://planreforma.com/blog/decorando-con-paredes-de-ladrillo-visto/;0.42;0.05;0.17;872000;0.99,0.81,0.81,0.81,0.81,0.66,0.81,0.81,0.81,0.81,0.99,0.99
salones minimalistas;8;9;1;480;0.23;http://planreforma.com/blog/como-decorar-un-salon-con-estilo-minimalista/;0.42;0.04;0.06;562000;0.66,0.54,0.66,0.66,0.44,0.66,0.81,0.81,0.99,0.81,0.99,0.99
jardin minimalista;2;2;0;110;0.00;http://planreforma.com/blog/10-consejos-para-tu-jardin-minimalista-sabes-que-tener-en-cuenta/;0.41;0.00;0.05;487000;0.99,0.82,0.99,0.82,0.65,0.65,0.53,0.53,0.41,0.28,0.53,0.53
cerramientos terrazas precios;2;2;0;110;1.48;http://planreforma.com/blog/cuanto-cuesta-construir-un-cerramiento-en-la-terraza-beneficiate-ademas-de-las-ayudas-que-da-el-gobierno/;0.41;0.29;0.85;239000;0.42,0.19,0.15,0.12,0.27,0.35,0.42,0.81,0.81,0.54,0.99,0.54
presupuestos reformas madrid;2;3;1;110;5.42;http://planreforma.com/blog/presupuesto-reformas-madrid/;0.41;1.08;0.62;667000;0.35,0.35,0.42,0.42,0.35,0.27,0.19,0.42,0.42,0.42,0.99,0.65
presupuesto de reforma;2;2;0;110;3.92;http://planreforma.com/;0.41;0.78;0.83;39800000;0.67,0.52,0.52,0.19,0.43,0.99,0.81,0.43,0.52,0.24,0.24,0.33
reforma terraza;1;1;0;30;1.55;http://planreforma.com/blog/tag/terrazas/;0.41;0.30;0.37;7290000;0.99,0.60,0.80,0.60,0.60,0.20,0.40,0.40,0.60,0.60,0.80,0.60
presupuesto obra casa;1;1;0;30;2.52;http://planreforma.com/calculador-obra_nueva/;0.41;0.49;0.80;18200000;0.14,0.14,0.14,0.14,0.28,0.28,0.28,0.71,0.99,0.71,0.56,0.28
