cerrajeros huelva,10,9,-1,320,2.85,http://www.cerrajeros-24horas.eu/cerrajero-huelva-barato.html,6.23,2.04,0.64,480000,"0.15,0.15,0.12,0.07,0.67,0.99,0.19,0.36,0.99,0.82,0.82,0.36",cerrajeros-24horas
albañiles,13,13,0,480,1.84,http://precio.habitissimo.es/albaniles,0,0.01,0.62,983000,"0.54,0.54,0.54,0.54,0.54,0.54,0.67,0.67,0.67,0.82,0.67,0.99",habitissimo
albañiles,14,0,0,480,1.84,http://precio.habitissimo.es/albaniles/madrid,0,0,0.62,983000,"0.54,0.54,0.54,0.54,0.54,0.54,0.67,0.67,0.67,0.82,0.67,0.99",habitissimo
albañiles,15,19,4,480,1.84,http://www.reparalia.es/albaniles,0,0.04,0.62,983000,"0.54,0.54,0.54,0.54,0.54,0.54,0.67,0.67,0.67,0.82,0.67,0.99",reparalia
reforma cocina,2,2,0,590,1.91,http://fotos.habitissimo.es/reformas-cocinas,0.12,0.23,0.79,18800000,"0.55,0.55,0.55,0.44,0.55,0.55,0.55,0.55,0.67,0.55,0.82,0.99",habitissimo
reforma cocina,9,0,0,590,1.91,http://www.reparalia.es/blog/2014/06/13/reforma-tu-cocina-sin-hacer-obra/,0.06,0.36,0.79,18800000,"0.55,0.55,0.55,0.44,0.55,0.55,0.55,0.55,0.67,0.55,0.82,0.99",reparalia
reforma cocina,8,8,0,590,1.91,http://www.reformadisimo.es/reformas-integrales-de-cocinas-en-madrid,0.88,0.47,0.79,18800000,"0.55,0.55,0.55,0.44,0.55,0.55,0.55,0.55,0.67,0.55,0.82,0.99",reformadisimo
pintores en valencia,6,6,0,1600,1.64,http://precio.habitissimo.es/pintores/valencia,0.13,0.2,0.31,483000,"0.34,0.66,0.66,0.30,0.17,0.25,0.34,0.30,0.99,0.83,0.83,0.55",habitissimo
pintores en valencia,11,11,0,1600,1.64,http://www.pintorist.es/pintores-valencia-p46,18.94,19.85,0.31,483000,"0.34,0.66,0.66,0.30,0.17,0.25,0.34,0.30,0.99,0.83,0.83,0.55",pintorist
cerrajeros tarragona,14,13,-1,320,12.84,http://www.habitissimo.es/empresas/cerrajeros/tarragona,0,0.04,0.9,489000,"0.99,0.54,0.99,0.54,0.44,0.54,0.67,0.54,0.81,0.67,0.54,0.44",habitissimo
cerrajeros tarragona,15,14,-1,320,12.84,http://precio.habitissimo.es/cerrajeros/tarragona,0,0.03,0.9,489000,"0.99,0.54,0.99,0.54,0.44,0.54,0.67,0.54,0.81,0.67,0.54,0.44",habitissimo
carpinteros madrid,4,5,1,320,1.13,http://www.habitissimo.es/empresas/carpinteros/madrid,0.03,0.04,0.76,573000,"0.44,0.35,0.44,0.44,0.54,0.54,0.67,0.99,0.99,0.99,0.99,0.99",habitissimo
pintar piso,2,3,1,320,1.24,http://preguntas.habitissimo.es/pregunta/cuanto-costaria-pintar-interior-vivienda,0.07,0.08,0.46,837000,"0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67",habitissimo
pintar piso,6,6,0,320,1.24,http://planreforma.com/blog/consejos-para-pintar-un-piso/,0.46,0.27,0.46,837000,"0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67",planreforma
pintar piso,11,11,0,320,1.24,http://www.hazmeprecio.com/presupuesto/pintar-piso/barcelona,0.9,0.76,0.46,837000,"0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67",hazmeprecio
pintar piso,10,13,3,320,1.24,http://www.pintorist.es/articulos/cuanto-cuesta-pintar-un-piso-o-pintar-una-casa-a1,2.41,1.91,0.46,837000,"0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67",pintorist
pintar piso,12,12,0,320,1.24,http://www.pintorist.es/pintores-barcelona-p8,1.04,0.83,0.46,837000,"0.99,0.67,0.82,0.82,0.82,0.44,0.82,0.99,0.82,0.54,0.82,0.67",pintorist
carpinteros,10,10,0,390,0.77,http://www.habitissimo.es/presupuestos/carpinteros,0.01,0.01,0.5,1050000,"0.99,0.54,0.66,0.54,0.66,0.54,0.66,0.66,0.66,0.66,0.81,0.81",habitissimo
carpinteros,12,18,6,390,0.77,http://www.habitissimo.es/empresas/carpinteros/madrid,0,0,0.5,1050000,"0.99,0.54,0.66,0.54,0.66,0.54,0.66,0.66,0.66,0.66,0.81,0.81",habitissimo
carpinteros,16,0,0,390,0.77,http://www.reparalia.es/carpinteros,0,0.01,0.5,1050000,"0.99,0.54,0.66,0.54,0.66,0.54,0.66,0.66,0.66,0.66,0.81,0.81",reparalia
fontaneros barcelona,4,4,0,390,6.01,http://precio.habitissimo.es/fontaneros/barcelona,0.04,0.25,0.86,528000,"0.81,0.99,0.99,0.99,0.67,0.99,0.99,0.99,0.99,0.99,0.67,0.67",habitissimo
fontaneros barcelona,19,20,1,390,6.01,http://www.reparalia.es/fontaneros,0,0.07,0.86,528000,"0.81,0.99,0.99,0.99,0.67,0.99,0.99,0.99,0.99,0.99,0.67,0.67",reparalia
pintores en zaragoza,5,5,0,590,1.63,http://www.habitissimo.es/presupuestos/pintores/zaragoza,0.04,0.07,0.4,610000,"0.07,0.68,0.53,0.11,0.14,0.17,0.99,0.46,0.21,0.14,0.07,0.11",habitissimo
pintores en zaragoza,6,6,0,590,1.63,http://www.habitissimo.es/empresas/pintores/zaragoza,0.04,0.07,0.4,610000,"0.07,0.68,0.53,0.11,0.14,0.17,0.99,0.46,0.21,0.14,0.07,0.11",habitissimo
pintores en zaragoza,10,10,0,590,1.63,http://www.pintorist.es/pintores-zaragoza-p50,4.45,4.64,0.4,610000,"0.07,0.68,0.53,0.11,0.14,0.17,0.99,0.46,0.21,0.14,0.07,0.11",pintorist
