Keyword,Position,"Previous Position","Search Volume",CPC,Url,"Traffic (%)","Traffic Cost (%)",Competition,"Number of Results",Trends,Timestamp,geo
"cierres de aluminio",8,8,320,1.03,http://www.hazmeprecio.com/presupuesto/cierres-de-aluminio/malaga,0.57,0.40,0.50,764000,"0.66,0.54,0.54,0.36,0.36,0.44,0.54,0.54,0.54,0.66,0.81,0.99",1428183538,
"presupuesto reforma",10,10,320,4.00,http://www.hazmeprecio.com/,0.57,1.58,0.91,39800000,"0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54",1428721832,
"precio mantenimiento extintores",1,0,20,1.82,http://www.hazmeprecio.com/presupuesto/mantenimiento-extintores,0.56,0.70,0.82,383000,"0.50,0.50,0.50,0.50,0.50,0.25,0.75,0.50,0.50,0.75,0.99,0.50",1428236874,
"cuanto cuesta hacer una chimenea",1,1,20,0.38,http://www.hazmeprecio.com/presupuesto/construir-chimenea,0.56,0.14,0.48,141000,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.99,0.99,0.99,0.99",1428329377,
"presupuesto pintar piso",6,5,170,1.81,http://www.hazmeprecio.com/presupuesto/pintar-piso,0.50,0.63,0.73,410000,"0.99,0.81,0.81,0.42,0.65,0.54,0.65,0.81,0.54,0.65,0.81,0.65",1428664077,
"cuanto cuesta poner parquet",3,3,90,0.81,http://www.hazmeprecio.com/presupuesto/poner-parquet,0.48,0.27,0.56,19000,"0.24,0.24,0.28,0.28,0.28,0.41,0.41,0.65,0.65,0.65,0.99,0.82",1428218543,
"precio armarios empotrados",11,11,170,0.56,http://www.hazmeprecio.com/presupuesto/armarios-empotrados,0.47,0.18,0.95,6530000,"0.65,0.81,0.81,0.65,0.42,0.65,0.65,0.65,0.81,0.54,0.81,0.99",1428447495,
"geotermia precio",11,14,170,0.98,http://www.hazmeprecio.com/presupuesto/calefaccion-geotermica,0.47,0.32,0.85,163000,"0.81,0.22,0.28,0.66,0.22,0.34,0.34,0.44,0.81,0.66,0.66,0.99",1428420505,
"hormigon impreso castellon",11,8,170,1.81,http://www.hazmeprecio.com/presupuesto/hormigon-impreso/castellon,0.47,0.59,0.68,38000,"0.54,0.35,0.35,0.81,0.99,0.65,0.42,0.99,0.81,0.42,0.42,0.54",1428404605,
"silestone precio m2",8,7,260,0.35,http://www.hazmeprecio.com/presupuesto/encimera-silestone,0.46,0.11,0.35,135000,"0.81,0.66,0.99,0.99,0.66,0.66,0.81,0.81,0.66,0.53,0.81,0.66",1428683658,
"presupuesto reforma baño",9,10,260,1.89,http://www.hazmeprecio.com/presupuesto/reforma-baño,0.46,0.60,0.87,502000,"0.82,0.67,0.67,0.67,0.99,0.54,0.67,0.67,0.67,0.67,0.82,0.67",1428462429,
