Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo class,relevant class
precio ventanas climalit,5,5,210,0.61,http://www.hazmeprecio.com/presupuesto/ventanas-climalit,0.62,0.26,0.80,449000,"0.35,0.23,0.23,0.23,0.19,0.19,0.28,0.28,0.54,0.67,0.99,0.81",1428110505,nogeo,norelevant
vallado de fincas,11,11,210,0.41,http://www.hazmeprecio.com/presupuesto/vallar-finca,0.58,0.16,0.69,408000,"0.81,0.81,0.99,0.65,0.42,0.54,0.81,0.99,0.65,0.65,0.99,0.81",1428482748,nogeo,norelevant
puertas blindadas barcelona,9,16,210,4.09,http://www.hazmeprecio.com/presupuesto/puertas-blindadas/barcelona,0.37,1.06,0.85,333000,"0.81,0.53,0.66,0.66,0.81,0.53,0.81,0.53,0.66,0.66,0.81,0.99",1428247457,geo,norelevant
armarios a medida precios,9,9,210,0.55,http://www.hazmeprecio.com/presupuesto/armarios-a-medida,0.37,0.14,0.90,604000,"0.44,0.36,0.44,0.36,0.44,0.44,0.44,0.67,0.54,0.67,0.99,0.82",1428673069,nogeo,norelevant
presupuesto reforma integral,12,13,210,2.79,http://www.hazmeprecio.com/presupuesto/reforma-integral,0.16,0.31,0.86,755000,"0.99,0.99,0.54,0.28,0.18,0.28,0.44,0.54,0.54,0.36,0.82,0.99",1428154611,nogeo,relevant
muebles cela,12,12,210,0.22,http://www.hazmeprecio.com/empresa/muebles-cela,0.16,0.02,0.08,351000,"0.99,0.53,0.66,0.44,0.53,0.53,0.81,0.81,0.66,0.44,0.81,0.81",1428593437,nogeo,norelevant
carpinteria de aluminio precios,13,0,210,1.59,http://www.hazmeprecio.com/presupuesto/carpinteria-de-aluminio,0.11,0.12,0.96,1140000,"0.81,0.66,0.66,0.44,0.53,0.81,0.81,0.99,0.81,0.53,0.53,0.66",1428765687,nogeo,relevant
acuchillar parquet precio,13,11,210,2.38,http://www.hazmeprecio.com/presupuesto/acuchillar-parquet,0.11,0.18,0.77,46000,"0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99",1428741268,nogeo,relevant
detectives privados jaen,13,11,210,0.28,http://www.hazmeprecio.com/presupuesto/detectives-privados/jaen,0.11,0.02,0.65,25000,"0.67,0.54,0.54,0.54,0.44,0.28,0.28,0.19,0.19,0.15,0.54,0.99",1428807767,geo,norelevant
uralita transparente,14,13,210,0.92,http://www.hazmeprecio.com/presupuesto/uralita,0.08,0.05,0.51,35000,"0.66,0.53,0.53,0.53,0.66,0.81,0.99,0.99,0.53,0.34,0.99,0.99",1428376150,nogeo,norelevant
precio construccion casa,15,12,210,0.49,http://www.hazmeprecio.com/presupuesto/construccion-casa,0.06,0.02,0.78,14300000,"0.81,0.81,0.99,0.81,0.66,0.53,0.44,0.44,0.53,0.34,0.66,0.81",1428351644,nogeo,norelevant
persianas de aluminio precios,17,14,210,1.20,http://www.hazmeprecio.com/presupuesto/persianas-de-aluminio,0.05,0.04,0.98,586000,"0.28,0.22,0.66,0.66,0.53,0.34,0.81,0.99,0.99,0.81,0.99,0.66",1428668410,nogeo,relevant
escayolistas valencia,20,18,210,0.63,http://www.hazmeprecio.com/empresa/escayolistas-valencia-decoracion-coloacion-escayola-y-pladur,0.03,0.01,0.16,87000,"0.99,0.28,0.53,0.53,0.66,0.81,0.66,0.66,0.53,0.44,0.66,0.53",1428342389,geo,norelevant
precio reforma integral piso,18,17,210,2.56,http://www.hazmeprecio.com/presupuesto/reforma-integral-piso,0.03,0.06,0.76,350000,"0.28,0.10,0.18,0.18,0.28,0.67,0.67,0.67,0.82,0.54,0.99,0.67",1428145748,nogeo,relevant
reforma baños,1,1,210,2.62,http://fotos.habitissimo.es/reformas-banos,0.16,0.41,0.84,12600000,"0.99,0.81,0.81,0.65,0.54,0.65,0.99,0.81,0.81,0.54,0.65,0.99",1428775036,nogeo,relevant
baños con plato de ducha,1,1,210,0.96,http://fotos.habitissimo.es/reformas-banos,0.16,0.15,0.56,9900000,"0.66,0.53,0.66,0.34,0.34,0.66,0.81,0.66,0.66,0.53,0.99,0.66",1428629632,nogeo,norelevant
decoracion de chimeneas,1,1,210,0.63,http://fotos.habitissimo.es/chimeneas,0.16,0.10,0.60,611000,"0.54,0.28,0.44,0.36,0.36,0.36,0.54,0.82,0.99,0.67,0.99,0.82",1428783586,geo,norelevant
puertas de garaje automaticas precios,1,1,210,0.70,http://precio.habitissimo.es/puertas-garaje,0.16,0.11,0.97,187000,"0.66,0.34,0.44,0.44,0.66,0.99,0.99,0.81,0.53,0.66,0.99,0.81",1428755099,nogeo,norelevant
carpinteria de aluminio precios,1,1,210,1.59,http://precio.habitissimo.es/carpinteria-aluminio,0.16,0.25,0.96,1140000,"0.81,0.66,0.66,0.44,0.53,0.81,0.81,0.99,0.81,0.53,0.53,0.66",1428765687,nogeo,relevant
cuanto cuesta pintar un piso,1,1,210,1.05,http://preguntas.habitissimo.es/pregunta/cuanto-costaria-pintar-interior-vivienda,0.16,0.16,0.50,102000,"0.65,0.81,0.81,0.99,0.99,0.99,0.99,0.81,0.81,0.54,0.81,0.99",1428500260,nogeo,relevant
marcas de frigorificos,1,1,210,0.41,http://www.habitissimo.es/marcas/frigorificos,0.16,0.06,0.76,484000,"0.53,0.53,0.53,0.66,0.99,0.81,0.81,0.53,0.66,0.53,0.66,0.53",1428477509,nogeo,norelevant
marcas de sofas,1,1,210,0.32,http://www.habitissimo.es/marcas/sofas,0.16,0.05,0.63,530000,"0.81,0.65,0.65,0.65,0.65,0.81,0.81,0.65,0.81,0.65,0.81,0.99",1428252171,nogeo,norelevant
precio piscina de obra,2,2,210,1.06,http://precio.habitissimo.es/construccion-piscinas,0.04,0.04,0.92,27900000,"0.28,0.35,0.54,0.81,0.99,0.54,0.44,0.23,0.19,0.28,0.44,0.54",1428458451,nogeo,norelevant
precio construccion casa,2,2,210,0.49,http://precio.habitissimo.es/construccion-casas,0.04,0.02,0.78,14300000,"0.81,0.81,0.99,0.81,0.66,0.53,0.44,0.44,0.53,0.34,0.66,0.81",1428351644,nogeo,norelevant
suelo microcemento,2,2,210,1.26,http://precio.habitissimo.es/microcemento,0.04,0.05,0.84,144000,"0.54,0.65,0.65,0.65,0.81,0.81,0.65,0.99,0.81,0.65,0.99,0.81",1428741829,nogeo,norelevant
reformas baños madrid,2,4,210,4.62,http://precio.habitissimo.es/reformas-banos/madrid,0.04,0.20,0.84,616000,"0.82,0.99,0.99,0.67,0.67,0.36,0.54,0.44,0.36,0.28,0.54,0.44",1428227399,geo,relevant
lacar puertas blanco,2,3,210,0.79,http://preguntas.habitissimo.es/pregunta/lacar-puertas-de-madera-y-sus-marcos,0.04,0.03,0.37,121000,"0.24,0.08,0.28,0.81,0.99,0.19,0.15,0.08,0.15,0.08,0.36,0.28",1428745663,nogeo,norelevant
aluminio o pvc,2,2,210,0.63,http://preguntas.habitissimo.es/pregunta/cambiar-ventanas-por-aluminio-o-pvc,0.04,0.02,0.44,7570000,"0.54,0.44,0.44,0.44,0.44,0.36,0.54,0.67,0.67,0.54,0.67,0.99",1428265502,nogeo,norelevant
reformas de viviendas en madrid,2,2,210,4.83,http://precio.habitissimo.es/reformas-viviendas/madrid,0.04,0.21,0.86,657000,"0.81,0.99,0.81,0.53,0.53,0.53,0.99,0.99,0.53,0.34,0.34,0.34",1428251867,geo,relevant
precio reforma cocina,2,2,210,2.24,http://precio.habitissimo.es/reformas-cocinas,0.04,0.09,0.81,9820000,"0.67,0.54,0.54,0.54,0.44,0.54,0.54,0.54,0.54,0.44,0.99,0.82",1428679059,nogeo,relevant
reformas baño,2,2,210,2.10,http://fotos.habitissimo.es/reformas-banos,0.04,0.09,0.88,1230000,"0.99,0.54,0.65,0.65,0.65,0.81,0.99,0.81,0.65,0.54,0.81,0.99",1428127749,nogeo,relevant
logos cocinas,3,2,210,2.62,http://www.habitissimo.es/muebles-cocina-logos_s,0.03,0.08,0.05,445000,"0.66,0.53,0.53,0.53,0.53,0.28,0.66,0.66,0.81,0.66,0.81,0.99",1428462236,nogeo,norelevant
ventanas de pvc o aluminio,3,5,210,0.72,http://preguntas.habitissimo.es/pregunta/cambiar-ventanas-por-aluminio-o-pvc,0.03,0.02,0.79,605000,"0.36,0.36,0.44,0.44,0.36,0.28,0.54,0.67,0.99,0.82,0.54,0.82",1428395825,nogeo,norelevant
precios tarima flotante,3,3,210,1.03,http://preguntas.habitissimo.es/pregunta/cuanto-costaria-poner-tarima-flotante,0.03,0.03,0.90,379000,"0.53,0.53,0.66,0.53,0.53,0.44,0.66,0.66,0.66,0.53,0.99,0.66",1428079356,nogeo,norelevant
cocinas aurosol,3,3,210,0.03,http://www.habitissimo.es/aurosol,0.03,0.00,0.15,4000,"0.99,0.66,0.66,0.66,0.53,0.44,0.66,0.81,0.66,0.81,0.81,0.99",1428318312,nogeo,norelevant
vallado de fincas,3,4,210,0.41,http://www.habitissimo.es/presupuestos/vallar-finca,0.03,0.01,0.69,408000,"0.81,0.81,0.99,0.65,0.42,0.54,0.81,0.99,0.65,0.65,0.99,0.81",1428482748,nogeo,norelevant
piscina pequeña,3,4,210,0.96,http://www.habitissimo.es/presupuestos/piscina-pequena,0.03,0.02,0.56,28100000,"0.35,0.35,0.54,0.99,0.99,0.67,0.28,0.19,0.15,0.19,0.35,0.35",1428183450,nogeo,norelevant
fosas septicas precios,3,5,210,0.56,http://precio.habitissimo.es/fosas-septicas,0.03,0.01,0.95,165000,"0.36,0.44,0.99,0.54,0.44,0.36,0.67,0.82,0.54,0.23,0.36,0.82",1428496210,nogeo,norelevant
alfombras baldomero,3,3,210,0.00,http://www.habitissimo.es/alfombras-baldomero,0.03,0.00,0.11,14000,"0.36,0.54,0.67,0.54,0.36,0.23,0.36,0.67,0.99,0.67,0.44,0.36",1428442294,nogeo,norelevant
reformas valladolid,3,4,210,1.00,http://www.habitissimo.es/empresas/reformas/valladolid,0.03,0.03,0.72,1030000,"0.81,0.99,0.99,0.65,0.99,0.42,0.81,0.99,0.54,0.42,0.54,0.65",1428382666,geo,relevant
fotos de vestidores,3,3,210,0.18,http://fotos.habitissimo.es/vestidores,0.03,0.00,0.28,922000,"0.81,0.81,0.66,0.53,0.44,0.66,0.66,0.81,0.81,0.53,0.99,0.81",1428174107,nogeo,norelevant
como lacar puertas,4,4,210,0.67,http://preguntas.habitissimo.es/pregunta/lacar-puertas-de-madera-y-sus-marcos,0.02,0.01,0.28,595000,"0.23,0.19,0.19,0.15,0.28,0.35,0.23,0.44,0.81,0.54,0.99,0.81",1428750401,nogeo,norelevant
suelos de microcemento,4,3,210,1.85,http://precio.habitissimo.es/microcemento,0.02,0.04,0.90,216000,"0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.81,0.66,0.53,0.99,0.81",1428400366,nogeo,norelevant
reformas en granada,4,4,210,2.67,http://www.habitissimo.es/empresas/reformas/granada,0.02,0.06,0.79,814000,"0.99,0.66,0.66,0.66,0.34,0.34,0.66,0.66,0.99,0.44,0.66,0.44",1428641708,geo,relevant
reformas baños barcelona,4,6,210,4.08,http://precio.habitissimo.es/reformas-banos/barcelona/barcelona,0.02,0.09,0.80,605000,"0.99,0.81,0.81,0.34,0.44,0.34,0.81,0.81,0.66,0.53,0.53,0.81",1428759506,geo,relevant
azulejos casañ,4,5,210,0.06,http://www.habitissimo.es/azulejos-casan-s-l,0.02,0.00,0.01,2000,"0.65,0.81,0.99,0.99,0.81,0.65,0.81,0.99,0.81,0.65,0.99,0.99",1428823329,nogeo,norelevant
paelleros de obra,4,4,210,0.28,http://fotos.habitissimo.es/foto/paelleros_174310,0.02,0.00,0.51,18000,"0.99,0.66,0.44,0.81,0.99,0.81,0.22,0.66,0.66,0.66,0.44,0.44",1428792566,nogeo,norelevant
armarios a medida precios,4,3,210,0.55,http://precio.habitissimo.es/armarios,0.02,0.01,0.90,604000,"0.44,0.36,0.44,0.36,0.44,0.44,0.44,0.67,0.54,0.67,0.99,0.82",1428673069,nogeo,norelevant
reformas de baños en madrid,4,0,210,4.63,http://www.habitissimo.es/presupuestos/reformas-banos/madrid,0.02,0.11,0.84,624000,"0.08,0.10,0.10,0.12,0.08,0.06,0.10,0.36,0.99,0.67,0.30,0.12",1428343066,geo,relevant
planchas de pladur,4,3,210,0.48,http://preguntas.habitissimo.es/pregunta/precio-de-planchas-de-pladur,0.02,0.01,0.45,445000,"0.81,0.65,0.65,0.65,0.54,0.65,0.65,0.81,0.81,0.65,0.99,0.99",1428783537,nogeo,norelevant
puertas a medida,4,4,210,0.46,http://www.habitissimo.es/presupuestos/hacer-puertas-a-medida,0.02,0.01,0.83,26100000,"0.53,0.53,0.53,0.81,0.81,0.66,0.81,0.66,0.66,0.53,0.99,0.81",1428265583,nogeo,norelevant
precio metro cubico hormigon,4,3,210,1.06,http://preguntas.habitissimo.es/pregunta/precio-metro-cubico-hormigon,0.02,0.02,0.22,25000,"0.53,0.34,0.44,0.44,0.66,0.53,0.53,0.66,0.81,0.81,0.99,0.66",1428645734,nogeo,norelevant
fotos de vestidores,4,4,210,0.18,http://fotos.habitissimo.es/armarios-y-vestidores/moderno,0.02,0.00,0.28,922000,"0.81,0.81,0.66,0.53,0.44,0.66,0.66,0.81,0.81,0.53,0.99,0.81",1428174107,nogeo,norelevant
arboles navidad originales,4,4,210,0.00,http://www.habitissimo.es/ideas/arboles-de-navidad-creativos-y-originales,0.02,0.00,0.00,689000,"0.01,0.01,0.01,0.01,0.01,0.03,0.07,0.26,0.88,0.99,0.01,0.01",1428533370,nogeo,norelevant
mudanzas cariño,4,7,210,1.12,http://www.habitissimo.es/mudanzas-carino,0.02,0.02,0.66,244000,"0.81,0.81,0.99,0.99,0.81,0.54,0.81,0.81,0.65,0.65,0.81,0.81",1428409122,nogeo,norelevant
precio ventanas climalit,4,4,210,0.61,http://preguntas.habitissimo.es/pregunta/precio-orientativo-puerta-y-ventana-de-pvc-con-rotura-termica-y-climalit,0.02,0.01,0.80,449000,"0.35,0.23,0.23,0.23,0.19,0.19,0.28,0.28,0.54,0.67,0.99,0.81",1428110505,nogeo,norelevant
azulejos j ramos,4,4,210,0.00,http://www.habitissimo.es/azulejos-j-ramos,0.02,0.00,0.01,59000,"0.81,0.65,0.99,0.81,0.99,0.65,0.65,0.81,0.99,0.81,0.81,0.65",1428145831,nogeo,norelevant
cambiar halogenos por led,6,6,210,0.36,http://preguntas.habitissimo.es/pregunta/cambiar-de-halogenos-a-led,0.01,0.00,0.37,57000,"0.99,0.54,0.54,0.54,0.54,0.44,0.44,0.67,0.44,0.36,0.99,0.54",1428663836,nogeo,norelevant
ascensores excelsior,6,6,210,1.38,http://www.habitissimo.es/grupoexcelsior,0.01,0.02,0.65,37000,"0.81,0.66,0.81,0.66,0.53,0.44,0.66,0.99,0.66,0.53,0.81,0.81",1428236727,nogeo,norelevant
presupuesto reforma integral,5,5,210,2.79,http://www.habitissimo.es/presupuestos/reforma-integral-piso,0.01,0.04,0.86,755000,"0.99,0.99,0.54,0.28,0.18,0.28,0.44,0.54,0.54,0.36,0.82,0.99",1428154611,nogeo,relevant
teka las palmas,6,6,210,0.95,http://www.habitissimo.es/teka/distribuidores/las-palmas,0.01,0.01,0.15,347000,"0.65,0.65,0.65,0.81,0.99,0.81,0.65,0.99,0.65,0.81,0.81,0.65",1428807726,geo,norelevant
sanitarios sangra,6,0,210,0.06,http://www.habitissimo.es/sanitarios-sangra_s,0.01,0.00,0.46,37000,"0.99,0.53,0.66,0.66,0.66,0.53,0.81,0.81,0.81,0.66,0.66,0.53",1428083168,nogeo,norelevant
sanitarios sangra,5,4,210,0.06,http://www.habitissimo.es/sangra,0.01,0.00,0.46,37000,"0.99,0.53,0.66,0.66,0.66,0.53,0.81,0.81,0.81,0.66,0.66,0.53",1428083168,nogeo,norelevant
escayolistas valencia,5,5,210,0.63,http://www.habitissimo.es/empresas/escayolistas/valencia,0.01,0.01,0.16,87000,"0.99,0.28,0.53,0.53,0.66,0.81,0.66,0.66,0.53,0.44,0.66,0.53",1428342389,geo,norelevant
merkamueble vitoria,5,4,210,0.05,http://www.habitissimo.es/merkamueble-vitoria,0.01,0.00,0.06,9000,"0.81,0.66,0.81,0.66,0.81,0.81,0.99,0.53,0.66,0.44,0.81,0.66",1428251963,nogeo,norelevant
baños de autor,6,6,210,0.56,http://www.habitissimo.es/banos-de-autor,0.01,0.00,0.07,565000,"0.99,0.81,0.81,0.53,0.66,0.53,0.66,0.66,0.66,0.53,0.81,0.99",1428788102,nogeo,norelevant
grupoalia,5,6,210,0.28,http://www.habitissimo.es/grupo-alia,0.01,0.00,0.12,3000,"0.81,0.81,0.99,0.81,0.99,0.81,0.81,0.81,0.81,0.99,0.81,0.81",1428547893,nogeo,norelevant
carpinteria barcelona,6,7,210,1.55,http://www.habitissimo.es/empresas/carpinteria-metalica/barcelona,0.01,0.02,0.77,653000,"0.81,0.65,0.81,0.65,0.81,0.81,0.99,0.99,0.99,0.81,0.99,0.81",1428610649,geo,relevant
carpinteria barcelona,5,6,210,1.55,http://www.habitissimo.es/empresas/carpinteria-madera/barcelona/barcelona,0.01,0.02,0.77,653000,"0.81,0.65,0.81,0.65,0.81,0.81,0.99,0.99,0.99,0.81,0.99,0.81",1428610649,geo,relevant
pladur madrid,6,6,210,0.67,http://www.habitissimo.es/empresas/pladur/madrid,0.01,0.01,0.35,488000,"0.99,0.81,0.81,0.81,0.65,0.54,0.65,0.81,0.81,0.65,0.81,0.54",1428351626,geo,norelevant
griferia rovira,5,6,210,0.27,http://www.habitissimo.es/rovira,0.01,0.00,0.09,7000,"0.81,0.66,0.66,0.66,0.81,0.44,0.66,0.53,0.66,0.53,0.81,0.99",1428351470,nogeo,norelevant
reformas de baños en madrid,5,3,210,4.63,http://precio.habitissimo.es/reformas-banos/madrid,0.01,0.07,0.84,624000,"0.08,0.10,0.10,0.12,0.08,0.06,0.10,0.36,0.99,0.67,0.30,0.12",1428343066,geo,relevant
precios toldos,6,5,210,0.72,http://precio.habitissimo.es/toldos,0.01,0.01,1.00,1060000,"0.82,0.99,0.99,0.82,0.82,0.54,0.36,0.28,0.36,0.18,0.36,0.36",1428851947,nogeo,relevant
reformas en leon,5,5,210,1.83,http://www.habitissimo.es/empresas/reformas/leon,0.01,0.03,0.56,558000,"0.99,0.82,0.82,0.54,0.36,0.54,0.67,0.54,0.44,0.28,0.44,0.36",1428203164,geo,relevant
acuchillar parquet precio,6,6,210,2.38,http://www.habitissimo.es/presupuestos/acuchillado-parquet,0.01,0.04,0.77,46000,"0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99",1428741268,nogeo,relevant
puertas a medida,5,5,210,0.46,http://www.habitissimo.es/presupuestos/hacer-puertas-a-medida/madrid,0.01,0.00,0.83,26100000,"0.53,0.53,0.53,0.81,0.81,0.66,0.81,0.66,0.66,0.53,0.99,0.81",1428265583,nogeo,norelevant
reformas pisos,6,5,210,2.99,http://precio.habitissimo.es/reformas-viviendas/madrid,0.01,0.05,0.78,3760000,"0.81,0.42,0.81,0.54,0.65,0.54,0.65,0.81,0.99,0.81,0.99,0.81",1428187687,nogeo,relevant
ascensors serra,5,5,210,2.63,http://www.habitissimo.es/ascensors-serra,0.01,0.04,0.61,29000,"0.81,0.81,0.65,0.54,0.99,0.54,0.81,0.99,0.81,0.81,0.81,0.99",1428322749,geo,norelevant
pared de cristal,5,5,210,1.06,http://www.habitissimo.es/presupuestos/hacer-tabique-separacion-cristal,0.01,0.01,0.45,996000,"0.66,0.53,0.53,0.66,0.44,0.53,0.53,0.81,0.66,0.66,0.99,0.81",1428836780,nogeo,norelevant
precios pladur,6,6,210,0.60,http://precio.habitissimo.es/pladur,0.01,0.01,0.24,439000,"0.81,0.66,0.66,0.66,0.66,0.66,0.53,0.66,0.81,0.66,0.99,0.81",1428323148,nogeo,norelevant
mudanzas precios,5,5,210,3.31,http://precio.habitissimo.es/mudanzas-viviendas,0.01,0.05,0.93,980000,"0.99,0.99,0.81,0.99,0.81,0.65,0.81,0.99,0.81,0.65,0.81,0.81",1428198895,nogeo,norelevant
mudanzas precios,6,6,210,3.31,http://precio.habitissimo.es/mudanzas-viviendas/madrid,0.01,0.05,0.93,980000,"0.99,0.99,0.81,0.99,0.81,0.65,0.81,0.99,0.81,0.65,0.81,0.81",1428198895,nogeo,norelevant
construir piscina,6,6,210,1.52,http://precio.habitissimo.es/construccion-piscinas,0.01,0.02,0.85,1740000,"0.44,0.36,0.54,0.67,0.99,0.99,0.67,0.44,0.28,0.23,0.28,0.36",1428165879,nogeo,norelevant
salones modernos con chimenea,6,0,210,0.00,http://fotos.habitissimo.es/chimeneas,0.01,0.00,0.04,132000,"0.23,0.15,0.19,0.04,0.19,0.23,0.35,0.35,0.67,0.35,0.99,0.99",1428814494,nogeo,norelevant
salones modernos con chimenea,5,0,210,0.00,http://fotos.habitissimo.es/foto/salon-moderno-con-chimenea_139362,0.01,0.00,0.04,132000,"0.23,0.15,0.19,0.04,0.19,0.23,0.35,0.35,0.67,0.35,0.99,0.99",1428814494,nogeo,norelevant
toldos castellon,5,6,210,0.41,http://www.habitissimo.es/presupuestos/toldos/castellon,0.01,0.00,0.54,287000,"0.54,0.82,0.82,0.99,0.82,0.54,0.54,0.36,0.36,0.28,0.36,0.44",1428356335,geo,relevant
precio cocina,5,3,210,0.50,http://precio.habitissimo.es/reformas-cocinas,0.01,0.00,0.68,160000000,"0.81,0.65,0.81,0.65,0.65,0.42,0.81,0.81,0.81,0.65,0.99,0.99",1428150012,nogeo,norelevant
cortizo pvc,11,14,210,1.38,http://www.habitissimo.es/ventanas-pvc-cortizo_s,0.01,0.02,0.05,46000,"0.36,0.44,0.44,0.36,0.44,0.28,0.67,0.54,0.67,0.67,0.67,0.99",1428525023,nogeo,norelevant
precio cristal,11,16,210,0.26,http://precio.habitissimo.es/cristaleros,0.01,0.00,0.39,20900000,"0.99,0.81,0.81,0.65,0.65,0.81,0.81,0.99,0.99,0.81,0.99,0.99",1428814632,nogeo,norelevant
casas prefabricadas en asturias,11,11,210,0.49,http://www.habitissimo.es/empresas/construccion-casas-prefabricadas/asturias,0.01,0.00,0.62,514000,"0.65,0.81,0.99,0.99,0.81,0.99,0.99,0.99,0.81,0.65,0.81,0.65",1428827691,geo,norelevant
mueble colonial barcelona,11,11,210,0.55,http://www.habitissimo.es/mueble-colonial-moycor_s,0.01,0.00,0.76,190000,"0.99,0.65,0.99,0.42,0.65,0.54,0.99,0.99,0.99,0.54,0.99,0.81",1428083885,geo,norelevant
elmueble.com,11,0,210,0.00,http://www.habitissimo.es/ideas/consejos-para-disfrutar-de-la-terraza-durante-todo-el-verano,0.01,0.00,0.00,899000,"0.81,0.99,0.99,0.65,0.81,0.81,0.81,0.81,0.99,0.99,0.81,0.65",1428137069,nogeo,norelevant
precio de casas prefabricadas,11,12,210,0.25,http://precio.habitissimo.es/construccion-casas-prefabricadas,0.01,0.00,0.98,807000,"0.65,0.99,0.81,0.54,0.81,0.99,0.81,0.81,0.81,0.65,0.99,0.81",1428218936,nogeo,norelevant
poner pladur,11,11,210,0.64,http://preguntas.habitissimo.es/pregunta/cuanto-costaria-poner-pladur-en-el-techo,0.01,0.01,0.11,317000,"0.81,0.65,0.65,0.81,0.81,0.65,0.65,0.65,0.99,0.81,0.99,0.99",1428243193,nogeo,norelevant
miele frigorificos,11,11,210,0.46,http://www.habitissimo.es/miele/catalogos,0.01,0.00,0.64,164000,"0.44,0.35,0.67,0.44,0.23,0.54,0.99,0.67,0.35,0.08,0.23,0.28",1428083222,nogeo,norelevant
maquina aire acondicionado,11,12,210,1.09,http://preguntas.habitissimo.es/pregunta/eleccion-maquina-por-conductos,0.01,0.01,0.86,700000,"0.53,0.66,0.66,0.99,0.81,0.66,0.53,0.34,0.53,0.53,0.66,0.66",1428256328,nogeo,relevant
hormigon proyectado,11,11,210,1.38,http://www.habitissimo.es/piscinas-hormigon-proyectado_s,0.01,0.02,0.88,523000,"0.81,0.81,0.99,0.66,0.66,0.66,0.66,0.66,0.66,0.44,0.81,0.66",1428136728,nogeo,norelevant
ceramicas saloni,11,0,210,0.73,http://www.habitissimo.es/saloni,0.01,0.01,0.06,260000,"0.99,0.81,0.81,0.81,0.65,0.42,0.99,0.81,0.65,0.54,0.65,0.99",1428560143,nogeo,norelevant
ventanas aluminio precios,11,11,210,1.12,http://precio.habitissimo.es/carpinteria-aluminio,0.01,0.01,0.98,677000,"0.99,0.99,0.81,0.44,0.53,0.81,0.81,0.53,0.44,0.44,0.66,0.66",1428198502,nogeo,norelevant
caber ferreteria,11,3,210,0.00,http://www.habitissimo.es/caber-ferreteria-1,0.01,0.00,0.01,15000,"0.65,0.65,0.81,0.99,0.81,0.65,0.99,0.99,0.81,0.99,0.99,0.99",1428337987,nogeo,norelevant
persiana mallorquina,11,8,210,0.84,http://www.habitissimo.es/presupuestos/persianas-mallorquinas-aluminio,0.01,0.01,0.43,49000,"0.81,0.54,0.81,0.81,0.81,0.65,0.65,0.65,0.65,0.65,0.99,0.81",1428701930,nogeo,relevant
reformas en murcia,11,11,210,2.54,http://precio.habitissimo.es/reformas-viviendas/murcia,0.01,0.04,0.89,1110000,"0.44,0.36,0.36,0.28,0.28,0.36,0.54,0.99,0.67,0.67,0.36,0.54",1428240682,geo,relevant
porcelanosa malaga,11,11,210,1.94,http://www.habitissimo.es/porcelanosa-malaga,0.01,0.03,0.13,59000,"0.99,0.65,0.65,0.65,0.81,0.65,0.99,0.99,0.54,0.65,0.65,0.99",1428692978,geo,norelevant
la oca pamplona,11,11,210,0.00,http://www.habitissimo.es/la-oca-zaragoza-paseo-pamplona,0.01,0.00,0.02,366000,"0.36,0.28,0.36,0.28,0.36,0.82,0.82,0.99,0.54,0.44,0.44,0.28",1428183294,geo,norelevant
chalet 300,11,14,210,0.00,http://preguntas.habitissimo.es/pregunta/precio-para-reforma-de-chalet-300m2,0.01,0.00,0.00,79900000,"0.81,0.66,0.53,0.81,0.99,0.66,0.81,0.53,0.53,0.53,0.66,0.34",1428701931,nogeo,norelevant
pintura para aluminio,11,11,210,0.45,http://preguntas.habitissimo.es/pregunta/pintar-ventana-de-aluminio-1,0.01,0.00,0.51,9180000,"0.99,0.81,0.81,0.81,0.99,0.81,0.99,0.99,0.99,0.99,0.99,0.99",1428473108,nogeo,norelevant
puerta chimenea,11,12,210,0.43,http://www.habitissimo.es/presupuestos/puertas-chimenea,0.01,0.00,0.93,7760000,"0.15,0.10,0.15,0.10,0.15,0.15,0.35,0.67,0.99,0.81,0.81,0.54",1428611373,nogeo,norelevant
cantoneras de aluminio,11,13,210,0.44,http://www.habitissimo.es/ideas/consejos-para-colocar-las-cantoneras-de-aluminio,0.01,0.00,0.55,258000,"0.99,0.81,0.81,0.53,0.66,0.66,0.99,0.81,0.81,0.53,0.34,0.66",1428396270,nogeo,norelevant
acero modular,11,10,210,0.08,http://www.habitissimo.es/acero-modular-s-l,0.01,0.00,0.28,409000,"0.53,0.66,0.66,0.66,0.66,0.53,0.53,0.66,0.66,0.81,0.99,0.99",1428160621,nogeo,norelevant
brico depot aviles,11,9,210,0.08,http://www.habitissimo.es/brico-depot-aviles,0.01,0.00,0.01,3000,"0.10,0.08,0.10,0.19,0.44,0.54,0.44,0.99,0.67,0.54,0.67,0.35",1428150587,geo,norelevant
piscinas malaga,11,10,210,1.07,http://www.habitissimo.es/empresas/mantenimiento-piscinas/malaga,0.01,0.01,0.78,625000,"0.81,0.66,0.81,0.81,0.99,0.81,0.81,0.44,0.34,0.28,0.44,0.34",1428486580,geo,norelevant
