Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo class,relevant class
leds c4,13,13,4400,0.81,http://www.habitissimo.es/leds-c4,0.06,0.05,0.28,693000,"0.99,0.99,0.99,0.99,0.99,0.55,0.82,0.99,0.99,0.82,0.99,0.99",1428615948,nogeo,norelevant
casas prefabricadas precios,14,11,4400,0.28,http://precio.habitissimo.es/construccion-casas-prefabricadas,0.05,0.01,0.93,586000,"0.82,0.55,0.24,0.24,0.55,0.99,0.28,0.19,0.36,0.44,0.67,0.36",1428588700,nogeo,norelevant
titanlux,15,14,4400,0.17,http://www.habitissimo.es/titanlux/distribuidores,0.03,0.00,0.01,179000,"0.99,0.99,0.99,0.81,0.81,0.81,0.81,0.81,0.81,0.54,0.67,0.81",1428409817,nogeo,norelevant
franke,15,17,4400,0.06,http://www.habitissimo.es/franke/catalogos,0.03,0.00,0.11,40400000,"0.99,0.67,0.81,0.81,0.81,0.54,0.81,0.81,0.81,0.67,0.81,0.81",1428721479,nogeo,norelevant
ka international,17,0,4400,0.82,http://www.habitissimo.es/ka-international/distribuidores/madrid,0.02,0.02,0.03,54200000,"0.81,0.67,0.67,0.54,0.81,0.81,0.81,0.99,0.99,0.81,0.99,0.67",1428236268,nogeo,norelevant
reformas integrales,1,1,3600,3.51,http://www.reformadisimo.es/,84.64,83.36,0.88,695000,"0.82,0.66,0.82,0.66,0.66,0.55,0.82,0.99,0.99,0.99,0.99,0.99",1429610295,nogeo,relevant
reformas integrales,2,2,3600,3.51,http://planreforma.com/,12.29,20.58,0.88,695000,"0.82,0.66,0.82,0.66,0.66,0.55,0.82,0.99,0.99,0.99,0.99,0.99",1429610295,nogeo,relevant
reformas madrid,6,6,3600,3.48,http://www.habitissimo.es/presupuestos/reformas/madrid,0.30,1.01,0.81,26000000,"0.55,0.44,0.44,0.44,0.44,0.28,0.44,0.55,0.55,0.67,0.99,0.82",1428183857,geo,relevant
technal,7,7,3600,0.38,http://www.habitissimo.es/technal,0.24,0.08,0.07,387000,"0.82,0.66,0.82,0.66,0.66,0.36,0.82,0.82,0.99,0.66,0.82,0.82",1428770409,nogeo,norelevant
ecoforest,10,11,3600,0.11,http://www.habitissimo.es/ecoforest,0.18,0.01,0.14,420000,"0.55,0.36,0.36,0.24,0.24,0.24,0.55,0.67,0.99,0.99,0.99,0.67",1428668735,nogeo,norelevant
kitres,8,8,3600,0.00,http://www.habitissimo.es/http-www-kitres-com-cgi-bin-dbsearch-displaylist-cgi-dbsearch-search-txt-field-11-string-vestuarios,0.18,0.00,0.01,26000,"0.99,0.81,0.99,0.81,0.81,0.81,0.99,0.99,0.81,0.99,0.99,0.81",1428619672,nogeo,norelevant
bronpi,13,12,3600,0.17,http://www.habitissimo.es/bronpi/distribuidores,0.05,0.00,0.07,240000,"0.36,0.30,0.23,0.20,0.23,0.23,0.44,0.67,0.99,0.81,0.81,0.67",1428232253,nogeo,norelevant
placo,13,13,3600,1.35,http://www.habitissimo.es/placo/distribuidores,0.05,0.07,0.00,959000,"0.99,0.82,0.82,0.82,0.82,0.55,0.82,0.82,0.99,0.82,0.99,0.99",1428079156,nogeo,norelevant
keraben,13,13,3600,0.02,http://www.habitissimo.es/keraben/distribuidores,0.05,0.00,0.01,503000,"0.82,0.66,0.82,0.82,0.82,0.55,0.82,0.82,0.82,0.82,0.99,0.99",1428236984,nogeo,norelevant
saloni,14,0,3600,1.30,http://www.habitissimo.es/saloni,0.04,0.05,0.04,14500000,"0.81,0.67,0.67,0.67,0.67,0.44,0.67,0.67,0.54,0.54,0.67,0.99",1428462412,nogeo,norelevant
bricodepot granada,17,20,3600,0.07,http://www.habitissimo.es/brico-depot-granada,0.02,0.00,0.07,55000,"0.81,0.67,0.81,0.81,0.81,0.67,0.44,0.35,0.67,0.67,0.99,0.81",1428256275,geo,norelevant
toldos baratos,20,20,3600,0.61,http://www.habitissimo.es/presupuestos/tarragona/el-vendrell/toldos-baratos,0.01,0.01,1.00,465000,"0.67,0.99,0.82,0.67,0.99,0.55,0.36,0.28,0.13,0.13,0.15,0.28",1428519960,nogeo,norelevant
leroy merlin santiago,18,19,3600,0.05,http://www.habitissimo.es/leroy-merlin-santiago-de-compostela-a-coruna,0.01,0.00,0.00,289000,"0.66,0.82,0.30,0.66,0.82,0.82,0.82,0.55,0.55,0.82,0.99,0.82",1428688810,nogeo,norelevant
ikea hackers,5,5,2900,0.00,http://www.habitissimo.es/ideas/19-mejores-hacks-ikea,0.24,0.00,0.00,925000,"0.66,0.66,0.55,0.99,0.66,0.82,0.82,0.66,0.66,0.55,0.82,0.66",1428469134,nogeo,norelevant
grespania,6,6,2900,0.00,http://www.habitissimo.es/grespania,0.24,0.00,0.00,507000,"0.99,0.81,0.99,0.81,0.81,0.67,0.81,0.99,0.81,0.67,0.81,0.99",1428338687,nogeo,norelevant
grespania,7,7,2900,0.00,http://www.habitissimo.es/grespania/distribuidores/madrid,0.19,0.00,0.00,507000,"0.99,0.81,0.99,0.81,0.81,0.67,0.81,0.99,0.81,0.67,0.81,0.99",1428338687,nogeo,norelevant
tifon muebles,10,9,2900,0.31,http://www.habitissimo.es/dormitorios-tifon-hipermueble_s,0.14,0.04,0.07,58000,"0.44,0.30,0.30,0.35,0.44,0.81,0.67,0.44,0.81,0.35,0.99,0.81",1428296406,nogeo,norelevant
vibia,9,0,2900,0.86,http://www.habitissimo.es/vibia/distribuidores,0.14,0.12,0.28,732000,"0.81,0.81,0.99,0.81,0.81,0.44,0.81,0.99,0.99,0.81,0.99,0.99",1428127310,nogeo,norelevant
marazzi,12,11,2900,0.83,http://www.habitissimo.es/marazzi/distribuidores,0.06,0.05,0.00,1160000,"0.99,0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.81,0.67,0.81,0.99",1428779656,nogeo,norelevant
corian,13,16,2900,0.61,http://www.habitissimo.es/corian,0.04,0.02,0.41,8670000,"0.99,0.99,0.99,0.83,0.83,0.66,0.83,0.99,0.99,0.83,0.99,0.99",1428611146,nogeo,norelevant
marazzi,13,0,2900,0.83,http://www.habitissimo.es/marazzi,0.04,0.03,0.00,1160000,"0.99,0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.81,0.67,0.81,0.99",1428779656,nogeo,norelevant
corian,14,0,2900,0.61,http://www.habitissimo.es/corian/distribuidores,0.03,0.02,0.41,8670000,"0.99,0.99,0.99,0.83,0.83,0.66,0.83,0.99,0.99,0.83,0.99,0.99",1428611146,nogeo,norelevant
marazzi,14,0,2900,0.83,http://www.habitissimo.es/marazzi/distribuidores/barcelona,0.03,0.02,0.00,1160000,"0.99,0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.81,0.67,0.81,0.99",1428779656,nogeo,norelevant
leroy merlin barakaldo,16,14,2900,0.08,http://www.habitissimo.es/leroy-merlin-16,0.02,0.00,0.00,30000,"0.67,0.81,0.35,0.35,0.54,0.81,0.99,0.44,0.35,0.30,0.35,0.44",1428141188,geo,norelevant
griferia tres,15,15,2900,0.36,http://www.habitissimo.es/griferia-tres/distribuidores,0.02,0.00,0.19,404000,"0.99,0.81,0.81,0.81,0.81,0.53,0.99,0.99,0.99,0.67,0.99,0.99",1428845934,nogeo,norelevant
pamesa,16,15,2900,0.18,http://www.habitissimo.es/pamesa/distribuidores,0.02,0.00,0.00,617000,"0.99,0.99,0.99,0.81,0.81,0.53,0.81,0.99,0.81,0.67,0.81,0.99",1428669015,nogeo,norelevant
