Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo
santandernet,11,11,260,0.00,http://tumanitas.com/manitas/promociones-euro-de-santandernet,0.36,0.00,0.00,23000,"0.99,0.81,0.81,0.81,0.81,0.81,0.66,0.53,0.66,0.66,0.81,0.66",1428413899,nogeo
tapizar sofa precio,10,10,390,0.25,http://tumanitas.com/trabajos-de/tapizar-sofa,0.34,0.06,0.85,136000,"0.44,0.44,0.44,0.44,0.54,0.66,0.66,0.66,0.81,0.66,0.99,0.81",1428400186,nogeo
poliuretano precio,2,2,90,0.45,http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado,0.34,0.11,0.96,858000,"0.79,0.64,0.79,0.64,0.64,0.50,0.79,0.99,0.79,0.64,0.50,0.64",1428160685,nogeo
lacar puertas en blanco,10,10,390,0.64,http://tumanitas.com/trabajos-de/lacar-puertas,0.34,0.16,0.50,122000,"0.99,0.82,0.44,0.19,0.30,0.99,0.30,0.24,0.24,0.30,0.36,0.36",1428360608,nogeo
espuma de poliuretano precio,8,8,390,0.27,http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado,0.34,0.07,0.91,494000,"0.67,0.81,0.67,0.67,0.81,0.81,0.81,0.81,0.67,0.54,0.99,0.99",1428420515,nogeo
precio poliuretano proyectado,2,2,90,0.56,http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado,0.34,0.14,0.73,79000,"0.82,0.64,0.82,0.64,0.45,0.99,0.64,0.64,0.82,0.99,0.99,0.99",1428673350,nogeo
espuma de poliuretano proyectado precios,2,2,90,0.67,http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado,0.34,0.17,0.71,44000,"0.99,0.36,0.50,0.50,0.50,0.64,0.64,0.64,0.99,0.99,0.79,0.79",1428405235,nogeo
reformar baño,12,12,880,1.78,http://tumanitas.com/precios-de-reformas/reformas-banos,0.33,0.46,0.82,12300000,"0.77,0.68,0.68,0.68,0.55,0.45,0.55,0.55,0.55,0.55,0.77,0.99",1428360442,nogeo
carpinteria de aluminio precios,5,4,210,1.59,http://tumanitas.com/precios-de-reformas/carpinteria-metalica,0.31,0.37,0.96,1140000,"0.81,0.66,0.66,0.44,0.53,0.81,0.81,0.99,0.81,0.53,0.53,0.66",1428765687,nogeo
presupuesto reforma baño,7,7,260,1.89,http://tumanitas.com/trabajos-de/reforma-bano,0.30,0.44,0.87,502000,"0.82,0.67,0.67,0.67,0.99,0.54,0.67,0.67,0.67,0.67,0.82,0.67",1428462429,nogeo
presupuesto de reforma,3,3,110,3.92,http://tumanitas.com/,0.29,0.87,0.83,44500000,"0.67,0.52,0.52,0.19,0.43,0.99,0.81,0.43,0.52,0.24,0.24,0.33",1428274603,nogeo
precio instalacion electrica,3,3,110,2.57,http://tumanitas.com/trabajos-de/instalacion-electrica,0.29,0.57,0.46,731000,"0.41,0.41,0.41,0.41,0.41,0.28,0.65,0.53,0.99,0.82,0.99,0.99",1428533580,nogeo
altillos de madera,11,13,210,0.28,http://tumanitas.com/precios-de-reformas/reformas/altillos-en-entreplanta,0.29,0.06,0.45,431000,"0.67,0.18,0.23,0.18,0.36,0.54,0.36,0.28,0.67,0.67,0.99,0.82",1428692851,nogeo
como alicatar una pared,4,4,140,0.00,http://blog.tumanitas.com/como-alicatar-paredes/,0.28,0.00,0.10,376000,"0.43,0.81,0.99,0.99,0.67,0.43,0.81,0.67,0.81,0.19,0.99,0.81",1428659624,geo
precio lacar puertas,4,4,140,0.56,http://tumanitas.com/trabajos-de/lacar-puertas,0.28,0.12,0.44,130000,"0.67,0.67,0.81,0.52,0.52,0.67,0.52,0.81,0.99,0.81,0.81,0.67",1428322598,nogeo
