fotos de chimeneas;1;1;0;320;0.28;http://fotos.habitissimo.es/chimeneas;0.25;0.06;0.20;906000;0.44,0.28,0.28,0.19,0.19,0.19,0.28,0.36,0.99,0.99,0.99,0.81
presupuesto reforma;1;2;1;320;4.00;http://www.habitissimo.es/presupuestos/reformas;0.25;0.95;0.91;39600000;0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54
precio tapizar sofa;1;1;0;320;0.17;http://precio.habitissimo.es/tapizar-sofa;0.25;0.04;0.59;133000;0.67,0.44,0.54,0.54,0.54,0.67,0.82,0.82,0.99,0.82,0.99,0.99
marcas de lavadoras;1;1;0;320;0.32;http://www.habitissimo.es/marcas/lavadora;0.25;0.07;0.42;1240000;0.67,0.67,0.67,0.54,0.67,0.67,0.67,0.67,0.81,0.67,0.99,0.81
reforma de baños;1;1;0;320;1.83;http://fotos.habitissimo.es/reformas-banos;0.25;0.43;0.82;13100000;0.99,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.67,0.54,0.82,0.99
duchas de obra fotos;1;1;0;320;0.53;http://fotos.habitissimo.es/foto/plato-de-ducha-de-obra-con-piedra-natural_211841;0.25;0.12;0.73;393000;0.67,0.67,0.54,0.44,0.44,0.81,0.99,0.99,0.54,0.23,0.35,0.67
arboles de navidad originales;3;3;0;1600;0.00;http://www.habitissimo.es/ideas/arboles-de-navidad-creativos-y-originales;0.24;0.00;0.03;329000;0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.16,0.99,0.82,0.04,0.02
technal;7;7;0;3600;0.38;http://www.habitissimo.es/technal;0.24;0.08;0.07;386000;0.82,0.66,0.82,0.66,0.66,0.36,0.82,0.82,0.99,0.66,0.82,0.82
tarkett;4;4;0;1900;0.60;http://www.habitissimo.es/tarkett;0.22;0.12;0.13;1300000;0.99,0.79,0.99,0.99,0.79,0.67,0.79,0.99,0.99,0.79,0.99,0.99
casas prefabricadas precios;10;10;0;4400;0.28;http://precio.habitissimo.es/construccion-casas-
